year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,1,Married,3,47,Bachelor's,MALE,Pretty happy,Moderately satisfied,164382.03756,Ballot a
2016,2,Never married,0,61,High school,MALE,Pretty happy,Very satisfied,25740.0,Ballot b
2016,3,Married,2,72,Bachelor's,MALE,Very happy,.i:  Inapplicable,-100.0,Ballot c
2016,4,Married,4,43,High school,FEMALE,Pretty happy,Very satisfied,5265.0,Ballot a
2016,5,Married,2,55,Graduate,FEMALE,Very happy,Moderately satisfied,936.0,Ballot c
2016,6,Married,2,53,Associate/junior college,FEMALE,Very happy,Very satisfied,-100.0,Ballot b
2016,7,Married,2,50,High school,MALE,Pretty happy,Moderately satisfied,164382.03756,Ballot a
2016,8,Married,3,23,High school,FEMALE,Very happy,Very satisfied,7605.0,Ballot c
2016,9,Married,3,45,High school,MALE,Pretty happy,Moderately satisfied,9945.0,Ballot a
2016,10,Divorced,4,71,Associate/junior college,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot c
2016,11,Never married,5,33,High school,FEMALE,.d:  Do not Know/Cannot Choose,Moderately satisfied,-100.0,Ballot b
2016,12,Widowed,4,86,High school,FEMALE,Not too happy,.i:  Inapplicable,-100.0,Ballot a
2016,13,Married,3,32,High school,MALE,Very happy,A little dissatisfied,2106.0,Ballot b
2016,14,Married,5,60,High school,FEMALE,Very happy,Very satisfied,-100.0,Ballot c
2016,15,Divorced,7,76,Less than high school,MALE,Pretty happy,Moderately satisfied,11115.0,Ballot b
2016,16,Never married,2,33,High school,FEMALE,Pretty happy,Very satisfied,12870.0,Ballot c
2016,17,Married,6,56,High school,MALE,Very happy,Very satisfied,9945.0,Ballot c
2016,18,Widowed,5,62,Less than high school,FEMALE,Pretty happy,.d:  Do not Know/Cannot Choose,-100.0,Ballot b
2016,19,Never married,0,31,Graduate,MALE,Pretty happy,Moderately satisfied,17550.0,Ballot b
2016,20,Divorced,2,43,High school,MALE,Pretty happy,A little dissatisfied,12870.0,Ballot a
