year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,1,married,3,47,bachelor's,male,pretty happy,moderately satisfied,164382.03756,ballot a
2016,2,never married,0,61,high school,male,pretty happy,very satisfied,25740,ballot b
2016,3,married,2,72,bachelor's,male,very happy,NA,NA,ballot c
2016,4,married,4,43,high school,female,pretty happy,very satisfied,5265,ballot a
2016,5,married,2,55,graduate,female,very happy,moderately satisfied,936,ballot c
2016,6,married,2,53,associate/junior college,female,very happy,very satisfied,NA,ballot b
2016,7,married,2,50,high school,male,pretty happy,moderately satisfied,164382.03756,ballot a
2016,8,married,3,23,high school,female,very happy,very satisfied,7605,ballot c
2016,9,married,3,45,high school,male,pretty happy,moderately satisfied,9945,ballot a
2016,10,divorced,4,71,associate/junior college,male,pretty happy,NA,NA,ballot c
2016,12,widowed,4,86,high school,female,not too happy,NA,NA,ballot a
2016,13,married,3,32,high school,male,very happy,a little dissatisfied,2106,ballot b
2016,14,married,5,60,high school,female,very happy,very satisfied,NA,ballot c
2016,15,divorced,7,76,less than high school,male,pretty happy,moderately satisfied,11115,ballot b
2016,16,never married,2,33,high school,female,pretty happy,very satisfied,12870,ballot c
2016,17,married,6,56,high school,male,very happy,very satisfied,9945,ballot c
2016,18,widowed,5,62,less than high school,female,pretty happy,NA,NA,ballot b
2016,19,never married,0,31,graduate,male,pretty happy,moderately satisfied,17550,ballot b
2016,20,divorced,2,43,high school,male,pretty happy,a little dissatisfied,12870,ballot a
2016,21,never married,0,58,high school,female,pretty happy,very satisfied,31590,ballot b
2016,22,never married,3,32,less than high school,female,pretty happy,very satisfied,NA,ballot c
2016,23,never married,2,23,less than high school,female,very happy,moderately satisfied,2106,ballot b
2016,24,married,2,37,high school,female,very happy,very satisfied,25740,ballot c
2016,25,divorced,2,25,associate/junior college,female,pretty happy,moderately satisfied,8775,ballot c
2016,26,separated,8,76,less than high school,female,not too happy,NA,NA,ballot b
2016,27,married,2,71,graduate,male,very happy,NA,NA,ballot a
2016,28,never married,0,22,high school,male,not too happy,moderately satisfied,NA,ballot b
2016,29,widowed,2,74,graduate,male,pretty happy,NA,31590,ballot b
2016,30,divorced,3,75,high school,female,not too happy,NA,NA,ballot c
2016,31,never married,0,32,high school,male,not too happy,NA,NA,ballot b
2016,32,married,2,68,high school,female,pretty happy,very satisfied,25740,ballot c
2016,33,married,3,55,high school,male,pretty happy,very satisfied,56160,ballot a
2016,34,married,1,46,high school,male,pretty happy,NA,NA,ballot c
2016,35,separated,2,58,high school,female,not too happy,NA,NA,ballot a
